,accuracy,contest_code,problem_code,successful_submissons,tags
0,38.775510204081996,IPC15FLC,SVENGY,18.0,['greedy']
0,18.75,IPC15BMR,CHEFEXAM,140.0,"['easy', 'ipc15flb', 'sorting']"
0,18.181818181818,IPC15BMR,CHEFCOL,2.0,"['dynamic-programming', 'ipc15flb', 'medium']"
0,3.2258064516129,IPC15BMR,MINMAGIC,1.0,"['ipc15flb', 'medium', 'segment-tree']"
0,48.453608247423,IPC15FLB,CHEFEXAM,47.0,"['easy', 'ipc15flb', 'sorting']"
0,31.25,IPC15FLB,CHEFCOL,10.0,"['dynamic-programming', 'ipc15flb', 'medium']"
0,45.454545454545,IPC15FLB,MINMAGIC,5.0,"['ipc15flb', 'medium', 'segment-tree']"
0,29.802955665025,KJCS16,SGRSTR,118.0,"['easy', 'kjcs16', 'modulo', 'strings']"
0,68.965517241379,KJCS16,VIACST,20.0,"['dynamic-programming', 'graph', 'kjcs16']"
0,14.4,IPC15AMR,ASYA2,275.0,['bitwise']
0,22.727272727273,IPC15AMR,ASYAPATH,5.0,['dynamic-programming']
0,15.47619047619,IPC15AMR,DIAGON,13.0,"['easy', 'implementation', 'ipc15amr']"
0,0.0,IPC15AMR,HIKARU,0.0,"['graphs', 'hard', 'maxflow']"
0,30.882352941176,IPC15AMR,TREE02,20.0,"['binary-search', 'dfs', 'tree']"
0,33.333333333333,IPC15AMR,BOBPRIME,2.0,"['inclusn-exclusn', 'mobius_function', 'number-theory']"
0,15.0,IPC15AMR,LUFFY,3.0,"['dfs', 'ipc15amr', 'medium']"
0,53.90625,IPC15FLA,ASYA2,68.0,['bitwise']
0,25.0,IPC15FLA,ASYAPATH,13.0,['dynamic-programming']
0,35.616438356164,IPC15FLA,DIAGON,26.0,"['easy', 'implementation', 'ipc15amr']"
0,0.0,IPC15FLA,HIKARU,0.0,"['graphs', 'hard', 'maxflow']"
0,26.530612244898,IPC15FLA,TREE02,26.0,"['binary-search', 'dfs', 'tree']"
0,20.689655172414,IPC15FLA,BOBPRIME,6.0,"['inclusn-exclusn', 'mobius_function', 'number-theory']"
0,11.627906976744,IPC15FLA,LUFFY,5.0,"['dfs', 'ipc15amr', 'medium']"
0,19.922905254616,LTIME40,LTM40AB,963.0,"['basic-math', 'cakewalk']"
0,0.59171597633136,LTIME40,LTM40CD,9.0,"['geometry', 'ad-hoc', 'easy', 'math']"
0,2.5236593059937005,LTIME40,LTM40EF,8.0,"['binary-search', 'medium', 'meet-in-middle']"
0,3.4990791896869,LTIME40,LTM40GH,19.0,"['lca', 'tree', 'optimization', 'medium', 'xor']"
0,20.435510887772,COWS2016,CVW,226.0,"['array', 'medium', 'traversal']"
0,64.83353151010701,COOK74,TALAZY,2137.0,"['ad-hoc', 'cakewalk']"
0,16.730401529637,COOK74,TAASEQ,518.0,"['dynamic-programming', 'easy']"
0,18.976897689769,COOK74,TACNTSTR,224.0,"['dynamic-programming', 'medium']"
0,8.4210526315789,COOK74,TACTQUER,8.0,"['dynamic-programming', 'graph', 'hard']"
0,24.825986078886,COOK74,TAPOINT,103.0,"['medium', 'geometry', 'math']"
0,37.209302325581,GSTS1601,BUG2K16C,76.0,"['dynamic-programming', 'easy']"
0,5.8139534883721,INSQ2016,INSQ16F,9.0,['suffix-array']
0,19.987623762376,INSQ2016,INSQ16A,313.0,"['mnnit', 'ad-hoc']"
0,22.12389380531,INSQ2016,INSQ16C,74.0,"['dp+bitmask', 'mnnit']"
0,41.052631578947,INSQ2016,INSQ16E,39.0,"['lca', 'mnnit', 'insq16', 'bridges']"
0,20.134874759152,INSQ2016,INSQ16B,199.0,['ad-hoc']
0,13.207547169811,INSQ2016,INSQ16D,21.0,"['mnnit', 'dp+probability']"
0,7.1428571428571,INSQ2016,INSQ16G,3.0,"['line-sweep', 'mnnit', 'geometry']"
0,25.0,INSQ2016,INSQ16H,2.0,"['number-theory', 'mnnit', 'min-cost-flow']"
